Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
980953,2016-04-30,Sunrisers Hyderabad vs Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.4,0.4,0.65,0.30000000000000004,Sunrisers Hyderabad
980959,2016-05-02,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,0.6,0.6,0.5283018867924528,0.05660377358490565,Kolkata Knight Riders
980963,2016-05-04,Kolkata Knight Riders vs Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,0.8,0.2,0.6274509803921569,0.2549019607843137,Kolkata Knight Riders
980971,2016-05-07,Punjab Kings vs Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,field,0.2,0.4,0.6666666666666666,0.33333333333333326,Punjab Kings
980973,2016-05-08,Mumbai Indians vs Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,0.6,0.6,0.42857142857142855,-0.1428571428571429,Sunrisers Hyderabad
980977,2016-05-09,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,field,0.4,0.2,0.5714285714285714,0.1428571428571428,Royal Challengers Bengaluru
980981,2016-05-11,Royal Challengers Bengaluru vs Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,0.6,0.6,0.5454545454545454,0.09090909090909083,Mumbai Indians
980983,2016-05-12,Sunrisers Hyderabad vs Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,0.8,0.4,0.6428571428571429,0.2857142857142858,Delhi Capitals
980985,2016-05-13,Mumbai Indians vs Punjab Kings,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,0.4,0.2,0.3333333333333333,-0.33333333333333337,Punjab Kings
980993,2016-05-15,Mumbai Indians vs Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0.4,0.6,0.4,-0.19999999999999996,Mumbai Indians
980991,2016-05-15,Punjab Kings vs Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,0.4,0.8,0.5,0.0,Sunrisers Hyderabad
980995,2016-05-16,Kolkata Knight Riders vs Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.6,0.4,0.6296296296296297,0.2592592592592593,Royal Challengers Bengaluru
980999,2016-05-18,Royal Challengers Bengaluru vs Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,0.4,0.4,0.543859649122807,0.08771929824561409,Royal Challengers Bengaluru
981003,2016-05-20,Delhi Capitals vs Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,0.6,0.8,0.5,0.0,Delhi Capitals
981009,2016-05-22,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0.4,0.8,0.6363636363636364,0.2727272727272727,Kolkata Knight Riders
981011,2016-05-22,Delhi Capitals vs Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.6,0.6,0.5714285714285714,0.1428571428571428,Royal Challengers Bengaluru
981015,2016-05-25,Sunrisers Hyderabad vs Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0.6,0.4,0.5471698113207547,0.09433962264150941,Sunrisers Hyderabad
981019,2016-05-29,Royal Challengers Bengaluru vs Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0.6,0.6,0.5423728813559322,0.0847457627118644,Sunrisers Hyderabad
1082591,2017-04-05,Sunrisers Hyderabad vs Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.6,0.8,0.6511627906976745,0.30232558139534893,Sunrisers Hyderabad
1082592,2017-04-06,Rising Pune Supergiant vs Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,,0.6,0.5454545454545454,0.09090909090909083,Rising Pune Supergiant
